engineer,suggested_action,reason
amir,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 1, 0 days above threshold)"
dante,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 2, 0 days above threshold)"
devon,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 2, 0 days above threshold)"
elena,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 2, 0 days above threshold)"
fatima,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 1, 0 days above threshold)"
jun,🟠 Monitor closely,"Max fatigue 5, 1 days above threshold"
kai,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 1, 0 days above threshold)"
liam,🟠 Monitor closely,"Max fatigue 5, 1 days above threshold"
maria,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 2, 0 days above threshold)"
meera,🔴 Rotate off-call,"Max fatigue 7, 1 days above threshold"
nina,🔴 Rotate off-call,"Max fatigue 9, 1 days above threshold"
noah,🟠 Monitor closely,"Max fatigue 5, 1 days above threshold"
ravi,🟠 Monitor closely,"Max fatigue 4, 0 days above threshold"
sofia,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 3, 0 days above threshold)"
yuki,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 3, 0 days above threshold)"
zara,🟢 Eligible for fallback or lead,"Stable fatigue profile (max 2, 0 days above threshold)"
